"","age_30_39....both_df..30.to.39.Years.Old.","age_40_49....both_df..40.to.49.Years.Old."
"703",359,342
"704",306,140
"705",NA,NA
"706",NA,NA
"707",NA,NA
"708",NA,NA
"709",NA,NA
"710",NA,NA
"711",NA,NA
"712",NA,NA
"713",NA,NA
"714",NA,NA
"715",NA,NA
"716",NA,NA
"717",NA,NA
"718",NA,NA
"719",NA,NA
"720",NA,NA
"721",NA,NA
"722",NA,NA
"723",NA,NA
"724",NA,NA
"725",NA,NA
"726",NA,NA
"727",NA,NA
"728",NA,NA
"729",NA,NA
"730",NA,NA
"731",NA,NA
"732",NA,NA
"733",NA,NA
"734",NA,NA
"735",NA,NA
"736",NA,NA
"737",822,647
"738",171,326
"739",704,701
"740",680,378
"741",696,376
"742",150,124
"743",NA,482
"744",341,239
"745",740,281
"746",NA,927
"747",NA,NA
"748",352,340
"749",NA,820
"750",502,598
"751",NA,NA
"752",760,545
"753",NA,NA
"754",114,404
"755",267,96
"756",229,64
"757",264,218
"758",NA,NA
"759",820,505
"760",31,37
"761",248,189
"762",295,205
"763",675,440
"764",402,223
"765",NA,NA
"766",NA,NA
"767",427,184
"768",NA,NA
"769",333,279
"770",NA,994
"771",479,281
"772",224,336
"773",71,NA
"774",NA,NA
"775",180,228
"776",NA,881
"777",955,602
"778",835,598
"779",407,484
"780",NA,NA
"781",315,320
"782",NA,951
"783",NA,NA
"784",NA,NA
"785",544,366
"786",NA,NA
"787",NA,926
"788",136,126
"789",955,NA
"790",NA,NA
"791",476,623
"792",213,126
"793",193,359
"794",97,127
"795",NA,NA
"796",NA,824
"797",145,NA
"798",320,666
"799",432,348
"800",NA,NA
"801",370,125
"802",NA,NA
"803",NA,NA
"804",787,381
"805",NA,NA
"806",500,671
"807",NA,NA
"808",637,611
"809",258,773
"810",85,88
"811",NA,NA
"812",203,NA
"813",NA,NA
"814",987,NA
"815",534,457
"816",670,320
"817",NA,NA
"818",244,186
"819",769,660
"820",NA,NA
"821",NA,NA
"822",261,180
"823",NA,NA
"824",518,561
"825",231,NA
"826",NA,777
"827",NA,NA
"828",478,527
"829",122,200
"830",112,117
"831",78,NA
"832",NA,NA
"833",NA,782
"834",77,NA
"835",531,374
"836",234,492
"837",970,778
"838",463,166
"839",NA,NA
"840",NA,NA
"841",570,243
"842",NA,NA
"843",538,314
"844",NA,NA
"845",738,NA
"846",312,160
"847",124,NA
"848",NA,NA
"849",NA,NA
"850",NA,NA
"851",NA,NA
"852",NA,NA
"853",NA,NA
"854",NA,NA
"855",NA,NA
"856",NA,NA
"857",248,304
"858",NA,NA
"859",NA,NA
"860",NA,NA
"861",NA,NA
"862",NA,NA
"863",494,456
"864",NA,NA
"865",NA,NA
"866",NA,NA
"867",NA,NA
"868",NA,NA
"869",709,681
"870",NA,NA
"871",NA,NA
"872",NA,NA
"873",NA,912
"874",183,223
"875",315,332
"876",221,123
"877",NA,NA
"878",NA,NA
"879",NA,174
"880",NA,NA
"881",541,380
"882",NA,NA
"883",NA,738
"884",NA,NA
"885",88,120
"886",NA,NA
"887",NA,NA
"888",279,213
"889",NA,NA
"890",NA,NA
"891",616,410
"892",150,NA
"893",NA,NA
"894",NA,NA
"895",NA,NA
"896",NA,NA
"897",NA,NA
"898",NA,NA
"899",NA,NA
"900",NA,NA
"901",NA,NA
"902",NA,NA
"903",NA,NA
"904",NA,NA
"905",NA,NA
"906",NA,NA
"907",NA,NA
"908",NA,NA
"909",NA,NA
"910",NA,NA
"911",NA,NA
"912",NA,NA
"913",NA,NA
"914",NA,NA
"915",NA,NA
"916",NA,NA
"917",NA,NA
"918",71,165
"919",NA,NA
"920",NA,917
"921",819,724
"922",975,717
"923",NA,NA
"924",488,371
"925",879,458
"926",NA,NA
"927",NA,NA
"928",452,513
"929",NA,NA
"930",548,638
"931",NA,NA
"932",NA,909
"933",NA,NA
"934",716,556
"935",148,112
"936",168,98
"937",116,227
"938",NA,NA
"939",NA,NA
"940",568,NA
"941",NA,597
"942",605,419
"943",NA,NA
"944",NA,619
"945",NA,NA
"946",NA,113
"947",NA,992
"948",NA,NA
"949",437,661
"950",NA,NA
"951",NA,703
"952",539,431
"953",189,157
"954",369,273
"955",111,NA
"956",686,754
"957",177,155
"958",300,195
"959",215,NA
"960",480,457
"961",NA,69
"962",293,156
"963",657,771
"964",338,627
"965",316,189
"966",940,697
"967",270,224
"968",NA,NA
"969",451,312
"970",NA,NA
"971",481,NA
"972",NA,NA
"973",52,NA
"974",NA,NA
"975",NA,NA
"976",391,250
"977",NA,NA
"978",NA,NA
"979",NA,NA
"980",426,341
"981",174,105
"982",880,NA
"983",NA,NA
"984",146,226
"985",NA,NA
"986",138,123
"987",NA,NA
"988",208,116
"989",201,170
"990",62,NA
"991",NA,NA
"992",678,537
"993",NA,NA
"994",NA,NA
"995",NA,NA
"996",981,867
"997",NA,NA
"998",887,530
"999",NA,NA
"1000",NA,NA
"1001",NA,NA
"1002",NA,NA
"1003",NA,NA
"1004",958,NA
"1005",309,332
"1006",NA,NA
"1007",NA,NA
"1008",991,NA
"1009",360,327
"1010",515,733
"1011",303,336
"1012",NA,NA
"1013",NA,NA
"1014",369,106
"1015",841,755
"1016",845,983
"1017",NA,NA
"1018",NA,959
"1019",NA,NA
"1020",41,87
"1021",NA,NA
"1022",NA,NA
"1023",825,820
"1024",NA,NA
"1025",NA,NA
"1026",523,456
"1027",528,43
"1028",NA,NA
"1029",NA,NA
"1030",NA,NA
"1031",NA,NA
"1032",NA,NA
"1033",NA,NA
"1034",NA,NA
"1035",NA,NA
"1036",NA,NA
"1037",NA,NA
"1038",NA,NA
"1039",NA,NA
"1040",NA,NA
"1041",NA,NA
"1042",NA,NA
"1043",NA,NA
"1044",NA,NA
"1045",NA,NA
"1046",NA,NA
"1047",NA,NA
"1048",NA,NA
"1049",NA,NA
"1050",NA,NA
"1051",NA,NA
"1052",NA,NA
"1053",NA,NA
"1054",NA,NA
"1055",NA,NA
"1056",NA,NA
"1057",NA,NA
"1058",NA,NA
"1059",NA,NA
"1060",NA,NA
"1061",673,270
"1062",NA,NA
"1063",NA,NA
"1064",922,NA
"1065",696,589
"1066",NA,NA
"1067",430,313
"1068",787,728
"1069",NA,NA
"1070",NA,NA
"1071",NA,777
"1072",NA,NA
"1073",825,NA
"1074",226,279
"1075",NA,NA
"1076",NA,NA
"1077",679,683
"1078",216,234
"1079",203,257
